hyperparametre,accuracy moyenne train,accuracy moyenne test
"hidden_layers=(32,)",0.7152499999999999,0.47274999999999995
"hidden_layers=(64,)",0.73275,0.4684999999999999
"hidden_layers=(16,)",0.671,0.45675000000000004
"hidden_layers=(8,)",0.6254166666666667,0.44899999999999995
batch_size=256,0.6125208333333334,0.44837499999999997
learning_rate=0.005,0.5982708333333333,0.4453125
learning_rate=0.05,0.608625,0.443125
"hidden_layers=(4,)",0.5685,0.44275
batch_size=512,0.5943750000000001,0.44006249999999997
"hidden_layers=(4, 4)",0.5560833333333333,0.4305
"hidden_layers=(2,)",0.49441666666666667,0.42424999999999996
"hidden_layers=(2, 2)",0.46416666666666667,0.40924999999999995
