accuracy,val_accuracy,loss,val_loss
0.19,,2.0595875549316407,
0.3,,2.0446891021728515,
0.33,,2.031353721618652,
0.35,,2.0173371124267576,
0.36,,2.00158878326416,
0.37,,1.9841429901123047,
0.37,,1.9654508209228516,
0.35,,1.9458658218383789,
0.34,,1.9260244750976563,
0.35,,1.9062409973144532,
0.35,,1.8864541244506836,
0.37,,1.8672539138793944,
0.38,,1.8475602340698243,
0.4,,1.828162307739258,
0.43,,1.8092155838012696,
0.45,,1.7899046325683594,
0.48,,1.7710997009277343,
0.5,,1.7524566650390625,
0.5,,1.7343678283691406,
0.53,,1.7163688659667968,
0.53,,1.6991161727905273,
0.54,,1.682196044921875,
0.56,,1.6660630798339844,
0.56,,1.650467414855957,
0.56,,1.6355759620666503,
0.59,,1.6213728713989257,
0.62,,1.6080222702026368,
0.63,,1.5953583908081055,
0.63,,1.5832396507263184,
0.66,,1.5716771125793456,
0.68,,1.5607026672363282,
0.7,,1.5503872299194337,
0.7,,1.5406284713745118,
0.7,,1.531382999420166,
0.69,,1.5227635192871094,
0.69,,1.5145331192016602,
0.69,,1.5066749572753906,
0.69,,1.4991769790649414,
0.7,,1.4919954490661622,
0.72,,1.4851634788513184,
0.72,,1.4785751342773437,
0.72,,1.472225284576416,
0.73,,1.4660658073425292,
0.73,,1.4600791931152344,
0.73,,1.454150161743164,
0.74,,1.4480877685546876,
0.75,,1.4419048309326172,
0.76,,1.435548610687256,
0.79,,1.4292081451416017,
0.8,,1.423046760559082,
0.8,,1.417282657623291,
0.8,,1.4118788528442383,
0.8,,1.406793975830078,
0.81,,1.401999797821045,
0.81,,1.3974620056152345,
0.81,,1.3931766891479491,
0.81,,1.3891000366210937,
0.81,,1.3853045845031737,
0.81,,1.3816809844970703,
0.81,,1.3781738662719727,
0.81,,1.3747453498840332,
0.81,,1.371354217529297,
0.82,,1.3679535675048828,
0.83,,1.3645695877075195,
0.83,,1.3611892700195312,
0.83,,1.3578634071350097,
0.83,,1.3546709060668944,
0.84,,1.3516665077209473,
0.84,,1.3488800239562988,
0.84,,1.3462868881225587,
