accuracy,val_accuracy,loss,val_loss
0.214,,1.6467137145996094,
0.279,,1.6282920227050781,
0.339,,1.6101547241210938,
0.396,,1.5921968688964845,
0.429,,1.5747559204101562,
0.469,,1.558219696044922,
0.503,,1.5425559997558593,
0.53,,1.5270944213867188,
0.566,,1.5116643981933593,
0.593,,1.4967695922851563,
0.621,,1.482910125732422,
0.645,,1.4697515563964845,
0.67,,1.4571351623535156,
0.693,,1.4452006225585938,
0.709,,1.4338179626464844,
0.719,,1.42288134765625,
0.73,,1.4123294067382812,
0.743,,1.4022065124511718,
0.752,,1.3925065307617188,
0.756,,1.3830447692871093,
0.759,,1.3738058776855469,
0.762,,1.3647752075195312,
0.765,,1.3559540405273438,
0.767,,1.3472970581054688,
0.77,,1.3387547302246094,
0.776,,1.330343017578125,
0.787,,1.3220555725097656,
0.791,,1.3139161987304688,
0.795,,1.3058934631347656,
0.79,,1.298037567138672,
0.793,,1.2903211364746094,
0.796,,1.2827266845703125,
0.796,,1.2752811584472656,
0.8,,1.2679746704101562,
0.801,,1.2608424072265625,
0.804,,1.2538887023925782,
0.809,,1.2471292419433593,
0.814,,1.2405499572753906,
0.816,,1.234168701171875,
0.818,,1.2279933471679687,
0.823,,1.2220133666992188,
0.828,,1.216240936279297,
0.87,,1.210673309326172,
0.916,,1.2053050842285156,
0.919,,1.2001082763671875,
0.925,,1.1951302185058594,
0.927,,1.1903569030761718,
0.931,,1.185757080078125,
0.932,,1.1813677673339844,
0.935,,1.1771565246582032,
0.935,,1.1730577392578125,
0.935,,1.1691503601074218,
0.935,,1.165450927734375,
0.938,,1.161814239501953,
0.941,,1.1583836975097657,
0.944,,1.1550818786621093,
0.945,,1.1518616943359374,
0.947,,1.1488336181640626,
0.948,,1.145875732421875,
0.95,,1.1430374755859376,
0.951,,1.1403009338378907,
0.951,,1.1376661682128906,
0.954,,1.1351404113769532,
0.954,,1.132699493408203,
0.956,,1.1302988891601562,
0.962,,1.1280282592773438,
0.962,,1.1258174133300782,
0.963,,1.1236786499023437,
0.964,,1.1215696105957031,
0.967,,1.1196081848144532,
0.967,,1.1176217956542969,
0.969,,1.1157347106933593,
0.969,,1.1138948974609375,
0.973,,1.1121154174804688,
0.973,,1.110439422607422,
0.975,,1.1087017517089843,
0.975,,1.1070396728515626,
0.976,,1.1054497985839844,
0.977,,1.1038743286132813,
0.979,,1.102316619873047,
0.978,,1.100896759033203,
0.98,,1.0994148254394531,
0.982,,1.0979896850585937,
0.983,,1.0965968322753907,
0.984,,1.0952407531738282,
0.985,,1.0939171142578126,
0.987,,1.0926322326660156,
0.987,,1.0913560180664061,
0.987,,1.0901067810058593,
0.988,,1.0888684692382813,
0.99,,1.0876018676757813,
0.989,,1.0864275512695312,
0.99,,1.0852611389160156,
0.991,,1.0840924682617188,
0.99,,1.0830067443847655,
0.992,,1.0818876037597656,
0.992,,1.0808025512695312,
0.995,,1.0797632751464843,
0.995,,1.0786785888671875,
0.995,,1.0776560363769532,
0.996,,1.0765751953125,
0.996,,1.075558624267578,
0.996,,1.0745872802734375,
0.997,,1.0736244201660157,
0.998,,1.0726241455078125,
0.998,,1.0716919250488282,
0.998,,1.0707077941894532,
0.998,,1.069715057373047,
0.999,,1.0687829895019532,
0.999,,1.0678396606445313,
0.998,,1.0670007629394531,
0.999,,1.0659895629882812,
0.999,,1.0651574401855468,
0.999,,1.0643265380859375,
0.999,,1.0634138793945314,
0.999,,1.0625912170410157,
1.0,,1.0616936645507813,
1.0,,1.0608590393066406,
1.0,,1.060042510986328,
1.0,,1.0592122802734374,
1.0,,1.0584105224609375,
1.0,,1.057589569091797,
1.0,,1.056762451171875,
1.0,,1.0559808044433594,
1.0,,1.0552565612792968,
1.0,,1.054382049560547,
1.0,,1.0536010131835938,
1.0,,1.052911376953125,
1.0,,1.0521082763671874,
1.0,,1.0514157104492188,
1.0,,1.0506567993164062,
1.0,,1.0498799743652343,
1.0,,1.0491146545410157,
1.0,,1.048407196044922,
1.0,,1.0476824340820312,
1.0,,1.0469761352539062,
1.0,,1.046275390625,
1.0,,1.0456011962890626,
1.0,,1.044864959716797,
1.0,,1.0442241821289062,
1.0,,1.0434678039550782,
1.0,,1.0427734680175782,
1.0,,1.0421736450195314,
1.0,,1.0414375610351563,
1.0,,1.04070751953125,
1.0,,1.0400938720703126,
1.0,,1.039341278076172,
1.0,,1.038655303955078,
1.0,,1.0380050659179687,
1.0,,1.0373086242675782,
