hyperparametre,accuracy moyenne train,accuracy moyenne test
kernel=linear,0.5038431372549019,0.4749411764705882
C=1.0,0.617111111111111,0.4693333333333333
C=2.0,0.6713333333333332,0.4663333333333333
C=0.8,0.5988888888888889,0.46399999999999997
C=5.0,0.7362222222222222,0.4626666666666666
kernel=rbf,0.843764705882353,0.45005882352941173
C=0.4,0.5475555555555555,0.45
C=10.0,0.773888888888889,0.44999999999999996
C=20.0,0.8013333333333333,0.44366666666666665
C=30.0,0.8154444444444445,0.43999999999999995
C=40.0,0.8212222222222222,0.43766666666666665
C=50.0,0.8258888888888888,0.4366666666666666
C=60.0,0.828,0.43599999999999994
C=70.0,0.8300000000000001,0.4346666666666666
C=80.0,0.8318888888888889,0.43366666666666664
C=90.0,0.8327777777777778,0.4326666666666666
C=100.0,0.8335555555555555,0.43166666666666664
C=0.2,0.4995555555555556,0.42700000000000005
kernel=poly,0.8242745098039216,0.39899999999999997
C=0.1,0.4426666666666666,0.38666666666666666
