accuracy,val_accuracy,loss,val_loss
0.242,,1.617273063659668,
0.228,,1.6131578731536864,
0.24,,1.613116804122925,
0.245,,1.6101127166748046,
0.258,,1.6074950313568115,
0.269,,1.6054486446380616,
0.257,,1.6054232482910156,
0.273,,1.5993247718811034,
0.267,,1.599738203048706,
0.305,,1.5884399604797363,
0.298,,1.5872056560516357,
0.303,,1.5742298450469971,
0.303,,1.5785331859588623,
0.337,,1.5654721946716308,
0.32,,1.5630982055664062,
0.332,,1.5605155296325683,
0.325,,1.5596065101623535,
0.341,,1.553326160430908,
0.333,,1.5556778678894043,
0.354,,1.5463655700683594,
0.355,,1.5428934783935546,
0.373,,1.5337219524383545,
0.356,,1.5388037719726562,
0.338,,1.5512268962860107,
0.374,,1.533381778717041,
0.375,,1.5265955600738526,
0.367,,1.5208081302642822,
0.381,,1.5176705913543702,
0.392,,1.5133255786895752,
0.378,,1.5182408065795898,
0.355,,1.5289209136962891,
0.382,,1.512439489364624,
0.396,,1.5031059761047363,
0.377,,1.5169354457855224,
0.393,,1.5050475749969483,
0.372,,1.5162015914916993,
0.384,,1.5037114887237548,
0.383,,1.510745050430298,
0.395,,1.5068234100341797,
0.401,,1.4959641761779785,
0.402,,1.501355110168457,
0.415,,1.492007703781128,
0.389,,1.5029687156677247,
0.407,,1.4965208282470703,
0.392,,1.5105780429840088,
0.413,,1.4995749988555909,
0.413,,1.4906070690155029,
0.41,,1.4901999626159668,
0.406,,1.493018419265747,
0.384,,1.5086336193084717,
0.422,,1.4798527088165283,
0.416,,1.4915454635620118,
0.41,,1.4922056255340577,
0.399,,1.491065191268921,
0.4,,1.498667278289795,
0.386,,1.4967496414184571,
0.392,,1.4928608322143555,
0.417,,1.4839840564727784,
0.419,,1.479712303161621,
0.42,,1.4814978313446046,
0.426,,1.4769237003326416,
0.427,,1.476392572402954,
0.414,,1.4862096252441406,
0.411,,1.4932543811798096,
0.428,,1.4776575412750244,
0.434,,1.4725161113739014,
0.403,,1.4926987991333007,
0.444,,1.4716768341064452,
0.432,,1.4739870319366455,
0.409,,1.497247127532959,
0.436,,1.4670608425140381,
0.426,,1.4752308540344239,
0.427,,1.4729404621124267,
0.422,,1.477133222579956,
0.436,,1.4648413181304931,
0.418,,1.4778978214263916,
0.421,,1.474598533630371,
0.426,,1.4707817134857177,
0.432,,1.47148162651062,
0.442,,1.46519655418396,
0.429,,1.469969482421875,
0.436,,1.4705461654663086,
0.447,,1.4634320316314697,
0.426,,1.4785363121032715,
0.446,,1.4654560050964356,
0.434,,1.4680934619903565,
0.423,,1.4832094688415527,
0.444,,1.4610276527404784,
0.425,,1.471237096786499,
0.434,,1.4695214977264404,
0.439,,1.463912015914917,
0.432,,1.4728256244659423,
0.423,,1.4767902393341064,
0.435,,1.470540075302124,
0.425,,1.4729206485748292,
0.43,,1.4753293266296388,
0.417,,1.480598237991333,
0.426,,1.4708435611724853,
0.419,,1.47871382522583,
0.423,,1.4740469512939454,
0.427,,1.4704866371154786,
0.433,,1.4601429653167726,
0.428,,1.4681648426055909,
0.425,,1.4778079719543458,
0.441,,1.4618886432647704,
0.437,,1.464830186843872,
0.424,,1.4729614753723144,
0.428,,1.4685920505523682,
0.429,,1.4725274181365966,
0.458,,1.4476728172302247,
0.437,,1.4679471321105957,
0.42,,1.479832872390747,
0.445,,1.4636186599731444,
0.416,,1.480440092086792,
0.436,,1.466095188140869,
0.44,,1.460242479324341,
0.44,,1.4614880580902099,
0.434,,1.4706942234039306,
0.426,,1.4707528686523437,
0.45,,1.461073829650879,
0.433,,1.4667903785705567,
0.437,,1.4591943473815918,
0.446,,1.46163187789917,
0.43,,1.470386365890503,
0.438,,1.4597545261383056,
0.449,,1.452800807952881,
0.455,,1.4480189609527587,
0.442,,1.4597252254486084,
0.458,,1.4519156093597412,
0.44,,1.4533824825286865,
0.457,,1.4472542572021485,
0.453,,1.450394121170044,
0.467,,1.4390878009796142,
0.467,,1.4419087295532227,
0.433,,1.4667318019866944,
0.455,,1.4515015106201172,
0.455,,1.4560912475585936,
0.448,,1.446734781265259,
0.456,,1.4455765361785888,
0.467,,1.4447332992553712,
0.442,,1.457357213973999,
0.445,,1.448384443283081,
0.458,,1.449141632080078,
0.446,,1.4548766021728516,
0.444,,1.4541249408721924,
0.439,,1.4610619773864746,
0.458,,1.4477575397491456,
0.457,,1.4531939125061035,
0.457,,1.4498290767669677,
0.45,,1.458326078414917,
